,equity
2022-01-03,1.0
2022-02-01,0.9457589589797868
2022-03-01,0.9136171013145344
2022-04-01,0.9777213808909163
2022-05-02,0.9534893723544202
2022-06-01,0.9556171512545543
2022-07-01,0.9354950115445726
2022-08-01,0.9646726892587808
2022-09-01,0.9467623892553828
2022-10-03,0.909795097915893
2022-11-01,0.9602865655820567
2022-12-01,0.9901950544161334
2023-01-03,0.97489193630523
2023-02-01,1.0080858705614442
2023-03-01,0.9845855540088754
2023-04-03,1.0106851479611672
2023-05-01,1.0097761421218048
2023-06-01,0.9937458320942868
2023-07-03,1.0282912317022515
2023-08-01,1.0435991639454518
2023-09-01,1.0294869075831938
2023-10-02,1.0045646575706813
2023-11-01,0.9875655408335628
2023-12-01,1.052153929849822
2024-01-02,1.0681122576140694
2024-02-01,1.0932691419362024
2024-03-01,1.1119607474984317
2024-04-01,1.1296766032187735
2024-05-01,1.1105070623559485
2024-06-03,1.1440510015848027
2024-07-01,1.1642278405472792
2024-08-01,1.161776320012598
2024-09-03,1.1748277424539093
2024-10-01,1.1888619319720601
2024-11-01,1.1991084046207283
2024-12-02,1.2373836480622546
