,equity
2022-01-03,1.0
2022-02-01,0.9448072106447182
2022-03-01,0.910603578889767
2022-04-01,0.9920922256122581
2022-05-02,0.9011844026791634
2022-06-01,0.9045690328439334
2022-07-01,0.841657047225519
2022-08-01,0.8980992910260602
2022-09-01,0.8548425751869407
2022-10-03,0.7841025296094147
2022-11-01,0.827422415584915
2022-12-01,0.8919575697596477
2023-01-03,0.8419293978177875
2023-02-01,0.9132485129668388
2023-03-01,0.8844354364755791
2023-04-03,0.9686844167067454
2023-05-01,0.9721139266716631
2023-06-01,0.9292778997604613
2023-07-03,0.9770245823042474
2023-08-01,1.017645028649054
2023-09-01,0.9955567078275944
2023-10-02,0.9537515453058422
2023-11-01,0.931073210867475
2023-12-01,1.0140389123041775
2024-01-02,1.0706273806688005
2024-02-01,1.1050845875961812
2024-03-01,1.159031566596314
2024-04-01,1.1952234266268362
2024-05-01,1.1650636956615883
2024-06-03,1.2270287820742716
2024-07-01,1.2738274438260995
2024-08-01,1.2466228509401658
2024-09-03,1.264978672029162
2024-10-01,1.304646186615293
2024-11-01,1.3491771335053577
2024-12-02,1.4143620812086284
