Date,Close,High,Low,Open,Volume
2021-06-01,340.30126953125,341.11988513180086,334.84669252430245,336.08354993072084,3644000
2021-06-02,341.191162109375,342.28564592734,337.5696032738279,341.09326819636755,2809700
2021-06-03,345.8893127441406,348.1405463731446,338.2457957641622,340.1322015364461,3003900
2021-06-04,348.3185119628906,348.8523798816309,343.7537511724412,346.74352013751246,2514100
2021-06-07,345.3910217285156,349.92908928389494,344.84821978517965,349.69772840755184,2188700
2021-06-08,342.3122863769531,343.8961580498279,340.10553253231564,343.28218272924397,2452600
2021-06-09,340.6039123535156,341.9297300681692,337.13363390758434,340.9420469222291,2025900
2021-06-10,332.73785400390625,346.7079784503307,331.3230495810318,346.7079784503307,3900800
2021-06-11,336.39495849609375,337.01784061468805,333.7788970460485,334.30391243016663,2117300
2021-06-14,331.83026123046875,337.01787760284645,329.85486822802096,335.84331373003215,2560500
2021-06-15,330.3887023925781,333.5386589454114,326.7048779113256,332.3463086468885,2302900
2021-06-16,330.12176513671875,332.86238671039456,325.0053226851389,330.1128582863233,3264200
2021-06-17,321.6685485839844,332.3641292756117,317.26394763762545,332.3641292756117,4146300
2021-06-18,310.3946533203125,318.89241651960884,309.77179811235476,317.2373438392314,6290100
2021-06-21,318.14483642578125,318.52745080803584,312.36103213158924,314.00719724632694,2717300
2021-06-22,318.1358947753906,320.2269676840197,313.7847089106522,317.66429340919154,1870800
2021-06-23,321.2680969238281,322.54055460398445,318.2516344196176,319.2571309726987,1713100
2021-06-24,328.1197204589844,330.0150332907802,322.80751671206394,323.00327736030187,2716600
2021-06-25,328.13739013671875,330.2551562620142,324.37348636825493,328.1818972234418,2782400
2021-06-28,328.0840148925781,328.2263886960522,323.76840232017304,327.2742791600216,1833400
2021-06-29,331.56329345703125,336.43058894228807,329.89934158131865,333.55647296739915,2365900
2021-06-30,337.71197509765625,338.22805659708956,330.03285617833245,330.03285617833245,2238400
2021-07-01,333.6720886230469,339.589386666783,332.9246464517919,338.75295746572954,2571000
2021-07-02,332.9336242675781,335.1047779133129,331.3853528081738,334.84672361840063,1598900
2021-07-06,329.1073913574219,332.4620156542808,325.14772574500876,332.10609462187784,2162900
2021-07-07,327.15869140625,329.31203112174956,322.27358264185204,327.00741072382357,2012800
2021-07-08,319.3905334472656,322.90531724775013,316.409644638061,320.0578953976087,2940500
2021-07-09,330.79803466796875,331.1450488186336,324.73838933415055,325.6726853563569,2641800
2021-07-12,338.57501220703125,341.68936842969777,326.8561227009552,329.50778434635106,4135900
2021-07-13,334.5531311035156,342.8728915072956,331.0205594240087,339.0733858086975,6466800
2021-07-14,333.1471252441406,339.7050652184485,330.468797386559,337.01783051071544,3295700
2021-07-15,332.2127990722656,337.0177998972203,329.7391117526205,330.33527324793295,2183900
2021-07-16,324.6048889160156,333.61872997888923,323.741766248716,333.61872997888923,2583300
2021-07-19,315.6355895996094,316.05380428132634,310.5458400743668,314.9949208777245,4394600
2021-07-20,324.56927490234375,326.8382947148651,312.80590694660555,313.4554552114696,2937900
2021-07-21,332.3463439941406,333.5920812179979,327.39006134293663,327.4879552435798,2398800
2021-07-22,331.643310546875,332.51533999424583,327.85271288898116,331.27848273180234,1887100
2021-07-23,332.83575439453125,336.3505394117748,330.45996023566545,333.3162627685298,1706900
2021-07-26,334.4819030761719,335.17595862374435,331.99930828272466,332.06160193373336,1559100
2021-07-27,333.5386657714844,333.8056268961895,328.53790360271284,331.4564993429407,1791800
2021-07-28,332.99591064453125,335.8522129088196,331.31414507118996,334.40180822621113,1668900
2021-07-29,335.9500427246094,337.6941017545255,333.5119554088496,335.48734814903656,1296600
2021-07-30,333.57427978515625,338.0856541440272,331.9548078888897,335.07807123811324,1474900
2021-08-02,336.51953125,344.2965147710203,334.34837793412646,334.72211262015054,2383200
2021-08-03,338.450439453125,339.29577561186517,330.80692239711124,338.35257271634055,1494600
2021-08-04,336.2258605957031,340.48808683746483,334.35726872044836,336.7775693257146,1460500
2021-08-05,341.9562683105469,341.9651751599055,338.08559054354544,338.26353744551795,1583800
2021-08-06,354.0489807128906,354.9120763577165,345.8181808661343,346.0317280644388,3655800
2021-08-09,355.819580078125,360.0195121372711,350.2137237152888,352.8920782160336,3319100
2021-08-10,363.0182800292969,365.38519414406335,355.48153648005166,356.0332181242768,3152300
2021-08-11,368.2860107421875,368.98894593261855,362.20855137304534,363.75682274821406,3000500
2021-08-12,369.273681640625,372.4948115790465,365.32289598271785,368.72200000322005,2312800
2021-08-13,365.5186462402344,370.95543657966505,363.20511901398794,370.1634872384177,1980000
2021-08-16,363.35638427734375,363.92585242062324,357.8395139838456,363.92585242062324,1590700
2021-08-17,360.3488464355469,363.35642935970577,356.1044331866501,359.3433498437978,2077400
2021-08-18,354.85870361328125,361.3632581179456,354.67184980736397,358.24002159889625,2187800
2021-08-19,350.2048645019531,353.906502054879,347.8379508532301,351.12137382997133,2241500
2021-08-20,352.2514953613281,352.767603906438,347.9180952966836,348.3540964963197,1612100
2021-08-23,357.21673583984375,359.57474341466843,355.0366752177204,357.6082571528376,1857600
2021-08-24,363.54327392578125,364.52207709447146,358.3289644667192,359.1208866975005,1958400
2021-08-25,367.6007995605469,370.7685425031305,363.8813750157762,364.73559081416164,1845300
2021-08-26,366.9691162109375,374.37239379277463,365.8568459187758,370.05677962817987,2076500
2021-08-27,373.4469299316406,373.58930376958045,367.0491498503316,367.29829727796806,2174500
2021-08-30,368.0279846191406,374.3990718501507,367.2449420207432,373.67832290277016,2089400
2021-08-31,369.7357482910156,370.94281516159543,365.4885843459935,368.48393077237205,1958100
2021-09-01,369.86981201171875,372.06043778865603,366.8744387177671,369.4227421853671,1680400
2021-09-02,370.6209716796875,373.37491044005776,368.95788463914204,371.1663838961084,1830400
2021-09-03,367.76861572265625,371.1752859624943,367.133784145114,370.17385381567294,1373600
2021-09-07,366.8834228515625,370.82658235990243,366.27541438024394,367.49143132288106,1557000
2021-09-08,362.12664794921875,367.47361420398045,361.8584169025682,365.8999192983418,1646200
2021-09-09,361.7510681152344,365.59588562569604,360.79435926776983,361.83156470974166,2424600
2021-09-10,360.7674865722656,366.4095057491912,360.48135532685177,364.808988087571,1956000
2021-09-13,365.9356994628906,366.0340417528636,361.05367602553855,364.28153521193366,1802800
2021-09-14,360.955322265625,372.8652717496767,360.1416517185887,366.86557364246113,3263200
2021-09-15,359.3995056152344,360.883753679324,354.2671245782347,355.86764246989884,3199800
2021-09-16,354.6873474121094,363.00286341078987,353.086856915571,361.69739973677974,2882900
2021-09-17,350.01995849609375,356.90484587144584,347.6683664559856,354.3654921136772,3843700
2021-09-20,338.1010437011719,340.5420275793337,333.0670329050397,337.8238625815782,3834500
2021-09-21,336.0534973144531,341.11433182913436,334.4798025432502,340.53314641971815,2377300
2021-09-22,344.6640625,348.0796830125575,339.513808629211,340.4884177161381,2991300
2021-09-23,350.37762451171875,352.0586117763901,347.08719645026724,349.06326514277043,2518000
2021-09-24,349.474609375,350.9409847224817,347.46279446182456,349.1348318237459,1789700
2021-09-27,357.4860534667969,358.5500820778669,353.3461815696564,354.59797191003787,2788500
2021-09-28,348.2674865722656,361.42027669180237,347.2750043937786,358.0583292661768,2609000
2021-09-29,344.14544677734375,350.8514946159391,343.61788033483316,349.32249606211485,1955000
2021-09-30,338.0116271972656,346.94407400230693,336.7508869551614,346.92620103175136,2665700
2021-10-01,339.7730712890625,342.20513225924225,336.06239715211683,339.27235526169994,2382300
2021-10-04,334.5423889160156,345.9158478624455,333.35319503022055,339.96087372999125,2895600
2021-10-05,344.9681091308594,347.122989542402,335.7495290384871,338.0742982122622,2508100
2021-10-06,346.970947265625,348.3121569996042,338.57498852014584,341.90118975189347,2111800
2021-10-07,349.2689208984375,355.733562152967,348.49997368763593,351.31650889529135,2348000
2021-10-08,351.22705078125,352.5682604740947,347.0871791634192,349.4566441633819,1446700
2021-10-11,344.4583740234375,354.92876970075514,344.26166219525874,351.3074874938706,1787400
2021-10-12,345.61181640625,347.4537420013305,340.68509793801235,345.33463528280436,2088200
2021-10-13,345.41510009765625,347.2659757975259,338.5481138544336,346.9261983507505,2391600
2021-10-14,349.7875061035156,351.98708240529845,341.7402477786217,350.5028070398247,3380900
2021-10-15,363.0833740234375,364.15632546706655,354.3833834935277,359.7213994687047,6451400
2021-10-18,369.8966979980469,371.90851255866943,364.4513898617329,364.8179904561063,3832300
2021-10-19,368.5287780761719,371.8281571492184,366.3202509905146,371.22907129027124,2568300
2021-10-20,364.710693359375,370.4689285237701,363.19959492585355,367.49145501857737,2453400
2021-10-21,364.4424133300781,368.97570836047845,361.78681721095984,363.7360352951667,2162100
2021-10-22,370.46002197265625,371.3899077518853,365.792610955245,366.58838121698733,2411000
2021-10-25,370.8443908691406,375.0826037472418,369.52105446720094,372.14982701581357,1824700
2021-10-26,373.4017028808594,375.3688213245733,369.9592865348312,372.29297827821017,1843300
