Date,Close,High,Low,Open,Volume
2021-06-01,146.34036254882812,147.09828364968973,145.8380133952683,146.1817210196348,9445400
2021-06-02,146.3491668701172,147.56536925386732,145.88207737877292,147.40672772886623,10498600
2021-06-03,146.44607543945312,147.39788401722404,145.1153131364023,145.7762901947755,13354400
2021-06-04,146.68406677246094,146.88676268787103,145.44142637178516,146.48137085705082,8510800
2021-06-07,145.99667358398438,147.26575218926402,145.53839221038496,147.17761650093482,7267200
2021-06-08,145.41497802734375,146.08476338802527,143.7933839240422,144.9655183909461,10370700
2021-06-09,143.59951782226562,144.72758462456125,143.01785459518965,144.65707876846565,12377400
2021-06-10,141.36097717285156,145.62649335034044,141.2816631407425,144.8509425094125,12119400
2021-06-11,141.26406860351562,142.06605765547218,140.1800695510798,141.3874505001537,13683800
2021-06-14,138.8668975830078,141.29928862632244,138.0649087559953,141.14064711935933,19917900
2021-06-15,136.7605743408203,138.29404619178553,135.8352170757425,138.10015848255034,24485500
2021-06-16,137.7212371826172,138.91098828159832,134.93631620003038,136.36402289785494,25321200
2021-06-17,133.74652099609375,138.7699581990475,133.2970613658527,138.45268862252004,29722400
2021-06-18,130.36231994628906,131.93103799146965,130.04505037267867,131.57852221973133,43595700
2021-06-21,132.5744171142578,133.2530242575621,131.33178997998056,131.38466601365815,18664800
2021-06-22,132.3805389404297,133.05032442681446,131.01451650397595,132.7242465969139,14251200
2021-06-23,133.18247985839844,133.9932768512802,132.27473901595397,132.37168286551668,12733300
2021-06-24,134.40748596191406,134.94508121091863,133.27061126030827,133.88752053434294,13733200
2021-06-25,135.76470947265625,136.1612930736391,133.6672043440781,134.47800136873164,15484900
2021-06-28,136.0115203857422,136.1437104827251,134.06383445527206,135.45629508317546,14125800
2021-06-29,135.84405517578125,137.7564812310609,135.3769656227581,136.60197635669732,14528700
2021-06-30,137.07786560058594,137.55377676131098,135.4650929103979,135.50033911419163,12531000
2021-07-01,138.43507385253906,138.4879498797741,136.97210767682716,137.7123989533502,10479400
2021-07-02,138.30210876464844,138.55916698189034,137.49549832795094,138.23119661937855,11424000
2021-07-06,135.9797821044922,138.08050182244278,135.04021992726715,138.08050182244278,15083400
2021-07-07,136.13934326171875,136.75094871429897,134.33113079440767,134.7388587460548,12271800
2021-07-08,133.7904052734375,135.19974839645917,132.9926539306112,134.38427916442575,17834600
2021-07-09,138.07164001464844,138.4084557631137,135.2440810709811,135.6606814277344,13694500
