Date,Close,High,Low,Open,Volume
2021-06-01,778.0831909179688,789.6891045763938,777.2846524145718,787.8346755880372,407400
2021-06-02,787.4086303710938,787.8789258915307,777.9943798529408,779.4761573442669,543400
2021-06-03,785.376220703125,791.9640479822664,778.5923005787597,784.4758476723908,430800
2021-06-04,790.582275390625,790.7160146316452,782.5503579698902,787.9614106629181,647000
2021-06-07,788.8973388671875,793.3902257264805,784.0032343548467,792.1956591991324,400300
2021-06-08,788.505126953125,790.2969496031777,782.7731117593802,788.3089797208452,303300
2021-06-09,776.3992919921875,790.2346103172039,775.4187189748309,789.3787989205774,463100
2021-06-10,773.2792358398438,784.9483379511493,773.1901126215475,784.2440577694489,423300
2021-06-11,785.064208984375,785.304917857465,778.2357270038887,779.7333562380214,444000
2021-06-14,781.6054077148438,785.9913256417457,778.6992725647776,785.3672998790686,363700
2021-06-15,785.376220703125,788.8350503842811,777.3798874627428,783.2724121699871,442600
2021-06-16,774.9819946289062,784.4759583892363,769.249977962123,784.4759583892363,595600
2021-06-17,774.5094604492188,779.2697721495041,767.7522553929821,775.5613647365843,569900
2021-06-18,749.5133056640625,763.8567047099335,747.9354218612483,758.5525666920943,1059000
2021-06-21,767.7702026367188,768.6972910092635,755.0313478631319,756.8410174018865,575800
2021-06-22,770.8900756835938,775.0531306796581,763.7495546549646,768.0374256713259,668500
2021-06-23,771.4784545898438,774.402435989549,769.7401166341463,772.4233891817432,566400
2021-06-24,773.190185546875,779.1093715723241,767.5829308148828,777.7454815089911,662000
2021-06-25,779.1539306640625,782.0243730354548,774.3667949607832,777.1659605199357,742100
2021-06-28,783.3526611328125,785.0820760814532,773.7963445080063,780.8833275468722,373700
2021-06-29,778.7081909179688,790.7070707274057,776.7291440154953,785.3048869700616,742800
2021-06-30,779.9918212890625,781.9440985672499,775.0799784951503,776.4527916276144,575600
2021-07-01,783.7894897460938,784.2530611120737,777.5137019448933,781.86398187395,426300
2021-07-02,796.6263427734375,797.7495783026433,785.2247186511458,786.2766229568102,430300
2021-07-06,795.7794799804688,798.4359832372131,789.8513708674899,797.8476502510757,527400
2021-07-07,803.1428833007812,804.7296358459305,793.3280110957822,793.3280110957822,468500
2021-07-08,781.3558959960938,792.2137500638758,777.995112209713,792.2137500638758,629800
2021-07-09,803.4727172851562,803.9986966730681,792.2404701679798,793.8629155355337,764400
2021-07-12,816.4966430664062,820.4101205429788,801.9214613592449,803.4725752249142,861900
2021-07-13,809.4989624023438,818.3510538742271,806.8246125530815,818.3510538742271,590200
2021-07-14,784.76123046875,796.9473361119335,775.5525372040935,788.9599793419371,993900
2021-07-15,784.4757690429688,792.9177719408647,780.2681523984298,781.0169397084974,620000
2021-07-16,780.036376953125,787.2927365601564,778.23563104862,787.0610053295761,983100
2021-07-19,753.417724609375,769.8471930798944,748.5415200897797,764.5430556374403,946300
2021-07-20,783.4417724609375,785.6436273679183,753.2750870464893,755.47694195347,899800
2021-07-21,786.864990234375,795.7260044058605,786.4371116940325,787.0611375052213,445500
2021-07-22,772.7622680664062,788.9064131318255,772.2363430807219,787.8456399556511,601000
2021-07-23,774.6253662109375,782.7643077800772,773.5912539045514,776.7470212291012,528500
2021-07-26,776.8895263671875,780.6781877678452,772.8334409260852,773.5376666342182,414400
2021-07-27,768.3228149414062,775.3652906474573,764.7035306614581,771.6657519392568,476100
2021-07-28,767.2796630859375,770.3640441139764,761.4049858354012,768.0908583432588,389200
2021-07-29,775.017578125,777.6651579943972,763.7585624576271,772.120366187358,335200
2021-07-30,773.03857421875,780.205866048525,770.2037701404743,774.0013553201701,503700
2021-08-02,778.467529296875,785.8754756078915,776.8540071938189,778.5031677044792,386100
2021-08-03,784.6630859375,786.0180527002834,773.4842700834085,782.5057381422799,391600
2021-08-04,786.2676391601562,792.0977012079614,780.9991404238964,783.486320163976,390700
2021-08-05,792.7485961914062,796.162810146294,789.5571903025786,789.5571903025786,349400
2021-08-06,798.8192749023438,802.3048196786455,791.2419516053787,793.390321682216,472000
2021-08-09,804.06103515625,807.2881338310632,793.363636423171,800.5130819875762,347000
2021-08-10,813.5015869140625,817.3882957462567,803.2499122027666,804.0522389440878,382600
2021-08-11,817.539794921875,822.2199067949226,815.0971765448669,817.9943886567535,349200
2021-08-12,818.832275390625,820.1338116792881,814.5354808480885,815.2576074156708,299100
2021-08-13,817.334716796875,820.5617609815746,813.4569316165758,816.657206188413,292700
2021-08-16,824.4930419921875,824.5643188031714,808.5539147628068,816.4254319550598,320600
2021-08-17,810.8804931640625,821.4174354253532,803.2853241084642,818.1369069719376,381700
2021-08-18,804.0073852539062,814.0094793087147,803.7934460287378,806.2449327350433,384000
2021-08-19,805.6746215820312,810.1407399036609,792.0532409114496,795.7170869641268,427500
